X1,X2,X3,Y,NX1,NX2,NX3,NY,,,,,,,,,,,,
7964.95,8315.67,8698.88,7709.95,-0.300233504,-0.139342168,-0.135204302,-0.147926305,,,,,,,,,,,,
7709.95,7964.95,8315.67,7853.26,-0.415049339,-0.298745279,-0.294627556,-0.307314058,,,,,,,,,,,,
7853.26,7709.95,7964.95,8084.37,-0.35052284,-0.414643412,-0.410540335,-0.423201025,,,,,,,,,,,,
8084.37,7853.26,7709.95,7770.52,-0.246463672,-0.349508661,-0.345397354,-0.35807255,,,,,,,,,,,,
7770.52,8084.37,7853.26,7596.87,-0.387777201,-0.244468593,-0.240344011,-0.253042601,,,,,,,,,,,,
7596.87,7770.52,8084.37,8052,-0.465964534,-0.387114197,-0.383007641,-0.395674462,,,,,,,,,,,,
8052,7596.87,7770.52,7821.18,-0.261038529,-0.466038553,-0.461941971,-0.474591214,,,,,,,,,,,,
7821.18,8052,7596.87,7614.71,-0.364967122,-0.259180838,-0.255058115,-0.267753429,,,,,,,,,,,,
7614.71,7821.18,8052,7785.05,-0.457931928,-0.364089101,-0.359979636,-0.372651585,,,,,,,,,,,,
7785.05,7614.71,7821.18,7593.3,-0.38123495,-0.457930229,-0.453832622,-0.466483671,,,,,,,,,,,,
7593.3,7785.05,7614.71,7244.55,-0.467571956,-0.380510276,-0.376402886,-0.389071177,,,,,,,,,,,,
7244.55,7593.3,7785.05,6939.64,-0.624599495,-0.467661127,-0.46356475,-0.476213632,,,,,,,,,,,,
6939.64,7244.55,7593.3,7123.5,-0.761887716,-0.626168868,-0.622092521,-0.634706102,,,,,,,,,,,,
7123.5,6939.64,7244.55,7202.96,-0.679103248,-0.76475122,-0.760692386,-0.773275102,,,,,,,,,,,,
7202.96,7123.5,6939.64,7512.91,-0.643325733,-0.681186394,-0.677116999,-0.689718327,,,,,,,,,,,,
7512.91,7202.96,7123.5,7235.91,-0.503768211,-0.645071626,-0.640997668,-0.653607039,,,,,,,,,,,,
7235.91,7512.91,7202.96,6953.64,-0.628489726,-0.504198582,-0.500106822,-0.512747566,,,,,,,,,,,,
6953.64,7235.91,7512.91,7031.55,-0.755584102,-0.63009577,-0.626019919,-0.638632625,,,,,,,,,,,,
7031.55,6953.64,7235.91,7101.83,-0.720504487,-0.758388186,-0.754328547,-0.76691268,,,,,,,,,,,,
7101.83,7031.55,6953.64,6997.33,-0.688860343,-0.722977897,-0.718913784,-0.731505803,,,,,,,,,,,,
6997.33,7101.83,7031.55,7163.75,-0.735912322,-0.691035463,-0.686967313,-0.699566446,,,,,,,,,,,,
7163.75,6997.33,7101.83,7276.65,-0.660980356,-0.738530972,-0.734468824,-0.74705738,,,,,,,,,,,,
7276.65,7163.75,6997.33,7145.75,-0.610146208,-0.662892669,-0.658820962,-0.671426364,,,,,,,,,,,,
7145.75,7276.65,7163.75,7104.65,-0.669085003,-0.611579338,-0.607501148,-0.620117977,,,,,,,,,,,,
7104.65,7145.75,7276.65,6833.6,-0.687590614,-0.671073713,-0.667003041,-0.679606621,,,,,,,,,,,,
6833.6,7104.65,7145.75,6887.94,-0.809633094,-0.689753766,-0.685685454,-0.698284873,,,,,,,,,,,,
